problem,n,m,direction,linesearch,start,iters,nfev,ngev,reason
DGO1,1,2,sd,qwolfe,75,500,30906,12554,maxIter
DGO1,1,2,sd,dwolfe,75,500,30138,11296,maxIter
DGO1,1,2,sd,qwolfe,76,500,30738,12564,maxIter
DGO1,1,2,sd,dwolfe,76,500,29973,11244,maxIter
DGO1,1,2,sd,qwolfe,77,500,31029,12663,maxIter
DGO1,1,2,sd,dwolfe,77,500,30150,11267,maxIter
DGO1,1,2,sd,qwolfe,78,500,31122,12663,maxIter
DGO1,1,2,sd,dwolfe,78,500,31032,11490,maxIter
DGO1,1,2,sd,qwolfe,79,500,30165,12306,maxIter
DGO1,1,2,sd,dwolfe,79,500,30408,11334,maxIter
DGO1,1,2,sd,qwolfe,80,500,30978,12635,maxIter
DGO1,1,2,sd,dwolfe,80,500,30735,11428,maxIter
DGO1,1,2,sd,qwolfe,81,500,30798,12483,maxIter
DGO1,1,2,sd,dwolfe,81,500,30390,11332,maxIter
DGO1,1,2,sd,qwolfe,82,500,30765,12582,maxIter
DGO1,1,2,sd,dwolfe,82,500,30744,11430,maxIter
DGO1,1,2,sd,qwolfe,83,500,31200,12784,maxIter
DGO1,1,2,sd,dwolfe,83,500,29907,11247,maxIter
DGO1,1,2,sd,qwolfe,84,500,31002,12647,maxIter
DGO1,1,2,sd,dwolfe,84,500,30321,11320,maxIter
DGO1,1,2,sd,qwolfe,85,500,31143,12699,maxIter
DGO1,1,2,sd,dwolfe,85,500,30594,11408,maxIter
DGO1,1,2,sd,qwolfe,86,500,30516,12496,maxIter
DGO1,1,2,sd,dwolfe,86,500,30120,11312,maxIter
DGO1,1,2,sd,qwolfe,87,500,31176,12694,maxIter
DGO1,1,2,sd,dwolfe,87,500,30648,11471,maxIter
DGO1,1,2,sd,qwolfe,88,500,31398,12795,maxIter
DGO1,1,2,sd,dwolfe,88,500,30174,11281,maxIter
DGO1,1,2,sd,qwolfe,89,500,31089,12715,maxIter
DGO1,1,2,sd,dwolfe,89,500,30537,11407,maxIter
DGO1,1,2,sd,qwolfe,90,500,31041,12643,maxIter
DGO1,1,2,sd,dwolfe,90,500,30312,11307,maxIter
DGO1,1,2,sd,qwolfe,91,500,31572,12871,maxIter
DGO1,1,2,sd,dwolfe,91,500,30393,11386,maxIter
DGO1,1,2,sd,qwolfe,92,500,31077,12728,maxIter
DGO1,1,2,sd,dwolfe,92,500,30414,11394,maxIter
DGO1,1,2,sd,qwolfe,93,500,31137,12681,maxIter
DGO1,1,2,sd,dwolfe,93,500,30132,11240,maxIter
DGO1,1,2,sd,qwolfe,94,500,30966,12622,maxIter
DGO1,1,2,sd,dwolfe,94,500,30822,11477,maxIter
DGO1,1,2,sd,qwolfe,95,500,30987,12677,maxIter
DGO1,1,2,sd,dwolfe,95,500,30258,11377,maxIter
DGO1,1,2,sd,qwolfe,96,500,31464,12764,maxIter
DGO1,1,2,sd,dwolfe,96,500,30276,11297,maxIter
DGO1,1,2,sd,qwolfe,97,500,31368,12770,maxIter
DGO1,1,2,sd,dwolfe,97,500,30513,11432,maxIter
DGO1,1,2,sd,qwolfe,98,500,29976,12332,maxIter
DGO1,1,2,sd,dwolfe,98,500,30441,11364,maxIter
DGO1,1,2,sd,qwolfe,99,500,31449,12798,maxIter
DGO1,1,2,sd,dwolfe,99,500,30633,11403,maxIter
DGO1,1,2,sd,qwolfe,100,500,31101,12691,maxIter
DGO1,1,2,sd,dwolfe,100,500,30495,11369,maxIter
DGO2,1,2,sd,qwolfe,1,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,1,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,2,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,2,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,3,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,3,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,4,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,4,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,5,500,60894,41388,maxIter
DGO2,1,2,sd,dwolfe,5,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,6,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,6,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,7,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,7,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,8,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,8,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,9,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,9,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,10,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,10,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,11,500,60897,41391,maxIter
DGO2,1,2,sd,dwolfe,11,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,12,500,60894,41388,maxIter
DGO2,1,2,sd,dwolfe,12,500,59394,39888,maxIter
DGO2,1,2,sd,qwolfe,13,500,60897,41391,maxIter
